region,var_name,value
New Guinea lowland,MTWA,27.26000023
New Guinea lowland,MAP,2833.130027
New Guinea lowland,CMIA,98.59389909
Australia arid,MAT,17.10777804
Australia arid,MTCO,8.276666816
Australia arid,MTWA,25.74000041
Australia arid,MAP,281.3400056
Australia arid,CMIA,77.94957468
West Pacific,MAT,23.56944488
West Pacific,MTCO,21.53666725
West Pacific,MTWA,25.45333379
West Pacific,MAP,2909.376711
New Zealand North,MAT,14.23611136
New Zealand North,MTCO,9.926666895
New Zealand North,MTWA,18.63666719
New Zealand North,MAP,2137.336701
Australia above 500m,MAT,9.51388903
Australia above 500m,MTCO,2.360000034
Australia above 500m,MTWA,16.65000019
Australia above 500m,MAP,1067.446686
Australia above 500m,CMIA,96.31800496
New Zealand and Islands South,MAT,7.274444561
New Zealand and Islands South,MTCO,-0.043333336
New Zealand and Islands South,MTWA,13.73333343
New Zealand and Islands South,MAP,943.3866831
New Zealand and Islands South,CMIA,97.39237358
Australia tropical,MAT,27.63361152
Australia tropical,MTCO,24.65666714
Australia tropical,MTWA,29.9466671
Australia tropical,MAP,1417.233356
Australia tropical,CMIA,95.96974185
New Guinea highland,MAT,22.81111136
New Guinea highland,MTCO,21.99000003
New Guinea highland,MTWA,23.29333375
New Guinea highland,MAP,2479.620021
New Guinea highland,CMIA,98.05454061
Australia Tasmania,MAT,8.400833476
Australia Tasmania,MTCO,4.386666711
Australia Tasmania,MTWA,13.19000022
Australia Tasmania,MAP,1607.300022
Australia Tasmania,CMIA,97.24081516
Australia east coast,MAT,13.81083358
Australia east coast,MTCO,7.156666724
Australia east coast,MTWA,20.17000039
Australia east coast,MAP,994.6400178
Australia east coast,CMIA,93.61868204
Australia south coast,MAT,17.38527809
Australia south coast,MTCO,8.930000226
Australia south coast,MTWA,25.6966671
Australia south coast,MAP,289.0533381
Australia south coast,CMIA,79.14687025
New Guinea lowland,MAT,24.60416711
New Guinea lowland,MTCO,23.79000053
New Guinea lowland,MTWA,25.09333343
New Guinea lowland,MAP,2009.536686
New Guinea lowland,CMIA,97.76349769
Australia arid,MAT,19.38250031
Australia arid,MTCO,10.67000017
Australia arid,MTWA,27.75666707
Australia arid,MAP,215.210004
Australia arid,CMIA,71.73613378
West Pacific,MAT,24.77638929
West Pacific,MTCO,22.62333387
West Pacific,MTWA,26.84000041
West Pacific,MAP,2374.3167
New Zealand North,MAT,14.23611136
New Zealand North,MTCO,9.926666895
New Zealand North,MTWA,18.63666719
New Zealand North,MAP,2137.336701
Australia above 500m,MAT,9.51388903
Australia above 500m,MTCO,2.360000034
Australia above 500m,MTWA,16.65000019
Australia above 500m,MAP,1067.446686
Australia above 500m,CMIA,96.31800496
New Zealand and Islands South,MAT,7.865277899
New Zealand and Islands South,MTCO,0.966666691
New Zealand and Islands South,MTWA,13.93000024
New Zealand and Islands South,MAP,613.9133429
New Zealand and Islands South,CMIA,98.72691574
Australia tropical,MAT,26.91694482
Australia tropical,MTCO,22.90000044
Australia tropical,MTWA,29.62666709
Australia tropical,MAP,1264.56003
Australia tropical,CMIA,95.7056201
New Guinea highland,MAT,22.81111136
New Guinea highland,MTCO,21.99000003
New Guinea highland,MTWA,23.29333375
New Guinea highland,MAP,2479.620021
New Guinea highland,CMIA,98.05454061
Australia Tasmania,MAT,8.400833476
Australia Tasmania,MTCO,4.386666711
Australia Tasmania,MTWA,13.19000022
Australia Tasmania,MAP,1607.300022
Australia Tasmania,CMIA,97.24081516
Australia east coast,MAT,13.81083358
Australia east coast,MTCO,7.156666724
Australia east coast,MTWA,20.17000039
Australia east coast,MAP,994.6400178
Australia east coast,CMIA,93.61868204
Australia south coast,MAT,14.24666692
Australia south coast,MTCO,10.42000011
Australia south coast,MTWA,18.32000058
Australia south coast,MAP,707.7400121
Australia south coast,CMIA,95.09141774
New Guinea lowland,MAT,26.26361155
New Guinea lowland,MTCO,25.98666674
New Guinea lowland,MTWA,26.5100001
New Guinea lowland,MAP,3945.023372
New Guinea lowland,CMIA,99.067348139999993
Australia arid,MAT,19.38250031
Australia arid,MTCO,10.67000017
Australia arid,MTWA,27.75666707
Australia arid,MAP,215.210004
Australia arid,CMIA,71.73613378
West Pacific,MAT,24.58388921
West Pacific,MTCO,22.76666692
West Pacific,MTWA,26.16333357
West Pacific,MAP,2762.633375
New Zealand North,MAT,11.90805577
New Zealand North,MTCO,6.820000172
New Zealand North,MTWA,16.97333377
New Zealand North,MAP,1738.700031
Australia above 500m,MAT,9.51388903
Australia above 500m,MTCO,2.360000034
Australia above 500m,MTWA,16.65000019
Australia above 500m,MAP,1067.446686
Australia above 500m,CMIA,96.31800496
New Zealand and Islands South,MAT,7.473611217
New Zealand and Islands South,MTCO,1.566666681
New Zealand and Islands South,MTWA,12.82333352
New Zealand and Islands South,MAP,646.4133452
New Zealand and Islands South,CMIA,96.48470537
Australia tropical,MAT,27.18916706
Australia tropical,MTCO,21.95000044
Australia tropical,MTWA,30.74333375
Australia tropical,MAP,953.1433518
Australia tropical,CMIA,95.39387455
Australia Tasmania,MAT,10.20972239
Australia Tasmania,MTCO,6.576666768
Australia Tasmania,MTWA,14.23000018
Australia Tasmania,MAP,1522.343356
Australia Tasmania,CMIA,98.09390489
Australia east coast,MAT,13.81083358
Australia east coast,MTCO,7.156666724
Australia east coast,MTWA,20.17000039
Australia east coast,MAP,994.6400178
Australia east coast,CMIA,93.61868204
Australia south coast,MAT,14.24666692
Australia south coast,MTCO,10.42000011
Australia south coast,MTWA,18.32000058
Australia south coast,MAP,707.7400121
Australia south coast,CMIA,95.09141774
Australia arid,MAT,18.51500029
Australia arid,MTCO,9.52000014
Australia arid,MTWA,27.25666701
Australia arid,MAP,236.9900044
Australia arid,CMIA,73.53052879
West Pacific,MAT,25.49361155
West Pacific,MTCO,23.27666708
West Pacific,MTWA,27.83333371
West Pacific,MAP,1844.656696
New Zealand North,MAT,11.90805577
New Zealand North,MTCO,6.820000172
New Zealand North,MTWA,16.97333377
New Zealand North,MAP,1738.700031
Australia above 500m,MAT,13.45666694
Australia above 500m,MTCO,5.693333467
Australia above 500m,MTWA,21.43333384
Australia above 500m,MAP,765.3066799
Australia above 500m,CMIA,94.96193247
New Zealand and Islands South,MAT,9.415000171
New Zealand and Islands South,MTCO,4.903333426
New Zealand and Islands South,MTWA,14.06333357
New Zealand and Islands South,MAP,4223.076742
New Zealand and Islands South,CMIA,99.54511837
Australia tropical,MAT,27.32388928
Australia tropical,MTCO,26.22000046
Australia tropical,MTWA,28.19333382
Australia tropical,MAP,2935.823369
Australia tropical,CMIA,98.42451917
Australia Tasmania,MAT,12.2247224
Australia Tasmania,MTCO,7.993333467
Australia Tasmania,MTWA,16.94666678
Australia Tasmania,MAP,1206.153354
Australia Tasmania,CMIA,96.54655876
Australia east coast,MAT,13.81083358
Australia east coast,MTCO,7.156666724
Australia east coast,MTWA,20.17000039
Australia east coast,MAP,994.6400178
Australia east coast,CMIA,93.61868204
Australia south coast,MAT,13.9080558
Australia south coast,MTCO,9.650000127
Australia south coast,MTWA,18.52333355
Australia south coast,MAP,681.7800109
Australia south coast,CMIA,94.8037979
Australia arid,MAT,18.51500029
Australia arid,MTCO,9.52000014
Australia arid,MTWA,27.25666701
Australia arid,MAP,236.9900044
Australia arid,CMIA,73.53052879
Australia above 500m,MAT,10.72083352
Australia above 500m,MTCO,3.230000043
Australia above 500m,MTWA,18.36666724
Australia above 500m,MAP,1020.960021
Australia above 500m,CMIA,96.18594264
New Zealand and Islands South,MAT,8.653055692
New Zealand and Islands South,MTCO,2.713333368
New Zealand and Islands South,MTWA,14.23333349
New Zealand and Islands South,MAP,1275.393356
Australia tropical,MAT,26.87027817
Australia tropical,MTCO,25.31333364
Australia tropical,MTWA,28.17000033
Australia tropical,MAP,2023.646702
Australia tropical,CMIA,97.54156687
Australia Tasmania,MAT,10.02166683
Australia Tasmania,MTCO,6.086666759
Australia Tasmania,MTWA,14.39666688
Australia Tasmania,MAP,1669.790029
Australia Tasmania,CMIA,97.80233315
Australia east coast,MAT,16.37111142
Australia east coast,MTCO,10.42333352
Australia east coast,MTWA,21.73666706
Australia east coast,MAP,1034.803353
Australia east coast,CMIA,96.02855293
Australia south coast,MAT,13.99138913
Australia south coast,MTCO,10.23333356
Australia south coast,MTWA,18.08666693
Australia south coast,MAP,756.7233451
Australia south coast,CMIA,95.41223783
Australia arid,MAT,20.78250031
Australia arid,MTCO,12.18666677
Australia arid,MTWA,29.05666707
Australia arid,MAP,174.6733367
Australia arid,CMIA,62.4858828
Australia above 500m,MAT,12.09611133
Australia above 500m,MTCO,4.490000089
Australia above 500m,MTWA,19.8733338
Australia above 500m,MAP,841.2200156
Australia above 500m,CMIA,94.13403748
New Zealand and Islands South,MAT,9.192222392
New Zealand and Islands South,MTCO,4.460000062
New Zealand and Islands South,MTWA,14.15666695
New Zealand and Islands South,MAP,2591.090038
Australia tropical,MAT,26.87027817
Australia tropical,MTCO,25.31333364
Australia tropical,MTWA,28.17000033
Australia tropical,MAP,2023.646702
Australia tropical,CMIA,97.54156687
Australia Tasmania,MAT,8.400833476
Australia Tasmania,MTCO,4.386666711
Australia Tasmania,MTWA,13.19000022
Australia Tasmania,MAP,1607.300022
Australia Tasmania,CMIA,97.24081516
Australia east coast,MAT,16.37111142
Australia east coast,MTCO,10.42333352
Australia east coast,MTWA,21.73666706
Australia east coast,MAP,1034.803353
Australia east coast,CMIA,96.02855293
Australia south coast,MAT,17.77694472
Australia south coast,MTCO,10.44666684
Australia south coast,MTWA,25.22000039
Australia south coast,MAP,239.8533376
Australia south coast,CMIA,80.16287733
Australia arid,MAT,19.51083368
Australia arid,MTCO,10.98333349
Australia arid,MTWA,27.97333374
Australia arid,MAP,233.5633377
Australia arid,CMIA,74.13406789
Australia above 500m,MAT,9.776111266
Australia above 500m,MTCO,2.780000047
Australia above 500m,MTWA,16.91666708
Australia above 500m,MAP,997.4366826
