MAT,MTCO,MTWA,MAP
25.741667,21.52333368,29.04666684,1107.236688
26.88638927,23.24000047,30.04000015,1259.470022
27.12138928,23.65000025,30.23666712,1291.840021
25.9136115,22.43000024,28.91666717,1217.076689
26.23333371,22.65000038,29.21000048,1148.350019
28.62388923,24.96000004,31.92000039,1075.266684
28.40833372,25.11000042,31.42000046,1132.223352
28.53750039,25.50333366,31.23000062,1139.210022
28.55166702,25.60666707,31.04333363,1130.936685
28.68833367,26.10333347,30.78000043,1153.613354
27.94888927,25.8066672,30.29000047,2103.793368
27.93361152,26.44666704,29.06333389,2226.123375
27.97861148,26.65000051,29.16333383,2139.063365
27.89861157,26.64666723,29.08333365,1974.240035
27.73444479,26.56000042,28.8800003,1914.580033
28.0680559,27.35333373,29.14666697,2075.160036
27.45694481,26.65000057,28.39333362,2323.943373
27.69527809,26.85333347,28.51000029,2356.646715
27.84638925,26.96000036,28.61000042,2421.446706
27.81000038,27.18333391,28.53000043,2682.493391
27.39027814,26.8933335,27.93333352,2476.156711
27.49333375,27.08666725,28.05333385,2433.800038
27.58555593,27.1900006,28.16333383,2339.530037
26.67638924,26.34666697,27.27000052,2641.76338
24.83055597,24.45333366,25.38666693,3104.300057
25.4983337,25.15333373,25.986667,3184.510056
26.925556,26.69000041,27.40000019,4595.530081
25.98277815,25.73333378,26.38666693,3277.126719
27.44388926,27.06333376,27.82000033,3372.273397
27.25472257,26.91666711,27.57666702,3365.440062
25.45555596,21.35333373,28.33666712,1192.023357
24.98416701,21.14333356,27.84333375,1193.253355
25.16944479,21.64333356,27.94000041,1173.553355
25.11027815,21.64333369,27.9300003,1145.356689
24.83833367,21.45000006,27.62666702,1105.830018
28.036667,24.45666669,31.12000046,1107.000021
28.06722255,24.70333373,30.91666705,1128.396684
28.1572226,25.40333366,30.72666727,1241.276687
28.47388926,25.8133337,30.93666719,1415.296694
28.66972261,26.40666707,30.76666705,1430.783358
28.05166705,25.81333389,30.39333369,2002.143368
27.77666704,25.71333377,30.00000038,2036.823367
27.66305593,26.64333375,28.78333378,2275.900043
27.47222259,26.06000048,28.58000043,1784.763367
27.14416703,26.1466671,28.18333371,2071.843372
26.4377782,25.75666707,27.30000044,2472.573375
25.98472259,25.45000032,26.61000042,2924.996713
26.3711114,25.76666711,26.92000033,3114.020056
26.78472266,26.06666711,27.5233338,2039.656705
27.74583365,26.97000027,28.51666711,2532.513376
27.84361147,27.18333391,28.44000022,2641.170051
27.47388929,26.99000028,28.05333385,2453.100036
27.55083371,27.09333394,28.17000046,2590.380044
27.42666709,26.99000028,28.08000043,2899.73339
26.77722262,26.40000013,27.39666691,3004.163384
25.96166706,25.59333375,26.49666697,2179.10337
25.74583371,25.29000047,26.30333379,2651.426713
24.63777815,24.23666712,25.1533336,3983.423397
27.07416702,26.6633337,27.48666693,4009.633397
27.95972262,27.53666693,28.36666698,3325.740056
24.32555594,20.16000042,26.9800003,1279.373356
24.42944478,20.43666687,27.09000034,1226.576688
24.23527818,20.54000034,26.85666695,1160.85002
27.61722259,24.036667,30.2500007,1018.46335
27.9586115,24.25000057,31.03000011,1121.623354
27.06416702,23.45333341,29.9300003,1133.386683
27.36833375,23.70000038,30.2233338,1125.146686
27.21027815,24.01000036,29.83000018,1317.750022
27.40777817,24.81000042,29.64333381,1638.086692
28.54583371,26.31333383,30.66333376,1723.630031
28.10166705,26.11333357,29.88666706,1504.150035
28.40166703,26.2233338,30.09666697,1391.963357
27.77194478,26.25666701,29.02000027,1837.116698
26.2211115,25.15333392,27.1966671,2218.520039
25.19333369,24.4533336,26.00000032,2551.973372
24.77777815,24.15333392,25.40666695,2856.38338
23.96138927,23.45666701,24.49333362,2874.506718
25.25250041,24.57000046,25.92666702,2902.796707
26.52444478,25.77666709,27.24000034,2899.413387
27.00722261,26.3766667,27.64333381,2505.666709
27.71027813,26.98000024,28.34000022,2523.500049
27.84944484,27.18333397,28.44666691,2573.43338
27.38277814,26.7933335,27.96000029,2430.246708
27.39916705,26.7933335,27.97666696,2670.500048
27.24222266,26.60333392,27.79333381,2848.326716
27.26250047,26.7000007,27.90000025,2854.140045
27.16666709,26.60333373,27.80000044,2584.676713
26.79388924,26.1966671,27.30333379,2919.860049
26.3713893,25.78666719,26.9033336,3616.14674
23.94305594,23.53333371,24.45666714,3230.280058
26.29027819,25.84333394,26.67000052,4369.826749
27.55666701,27.12000033,27.96000029,4539.670072
24.71388922,20.45000032,27.27000046,1390.530024
25.17722262,20.93333359,27.76333408,1301.463354
24.86916703,20.83666719,27.45666695,1194.343355
25.97166701,22.25333385,28.65333373,1108.08335
27.19444473,23.45333341,30.03000024,1110.666686
27.13916704,23.45333341,29.93000037,1110.816686
27.45555596,23.69666704,30.23333384,1086.566689
26.87166704,23.31333377,29.44333375,1244.69669
26.94083365,23.90333366,29.24000047,1556.446689
28.33222259,25.81666711,30.47666715,1775.126697
27.72333368,25.61666692,29.53666693,1839.203366
27.97805588,26.12333361,29.54000022,2082.246704
27.56916704,26.4533336,28.68333371,2216.510043
27.18972263,25.95000025,28.26000048,2418.38671
24.97472267,24.15666726,25.81000048,2636.020038
23.42222257,22.85000013,24.09000041,2774.000046
24.42166704,23.76333377,25.10666714,2934.686712
25.3811115,24.5800005,26.11666698,3085.473387
24.94527818,24.28333371,25.54000041,2860.95338
25.60916707,24.98000024,26.25000051,2446.463371
26.77333368,26.18333403,27.35333354,2083.836704
27.67611147,26.99000028,28.36333351,2502.640043
27.75638933,27.09333394,28.38666681,2563.223372
27.32472268,26.69666742,27.89666684,2657.913377
27.24638931,26.60666726,27.80000044,2678.163381
27.26638931,26.60333379,27.90000025,2580.180046
27.34444479,26.71000042,27.90666688,2527.653384
27.45305597,26.80000051,28.00666701,2696.216717
27.52500036,26.89666697,28.10333373,2869.716712
26.05222253,25.48333352,26.56666692,2592.830055
24.9044448,24.52333374,25.37000046,2340.310041
25.20333373,24.78666706,25.62666696,3139.506724
27.4136115,26.99000028,27.74666703,3669.816732
24.87555592,20.66000029,27.46000035,1530.676692
25.40333371,21.23666712,27.96666692,1443.750017
26.63111145,22.45000019,29.4533336,1297.960026
26.91305591,22.95666682,29.85333366,1183.300023
27.07555593,23.26333389,30.03666693,1129.036684
27.6938893,23.86000042,30.63666712,1122.380021
27.83500044,23.80000045,30.74333388,1054.070016
27.31027816,23.22000039,29.96000042,1133.69002
26.70916701,23.31000042,29.15666701,1362.583356
28.1247226,25.32000046,30.4733338,1585.990024
27.37444478,25.31333383,29.29333356,1925.836701
27.02694484,25.51333364,28.43666725,2579.89004
27.55055589,26.32666715,28.85333379,3219.003395
27.66611155,25.6966671,29.68666712,1917.440033
27.64138928,26.5633337,28.61666711,2231.163366
26.68222264,25.56666698,27.78333378,2698.196717
25.89527818,24.87000014,26.80333379,2833.166714
24.22472255,23.47000027,25.00000032,2895.85672
25.88194482,24.8766667,26.71666711,2996.79006
25.78638924,24.88000005,26.53666712,2794.206715
26.06944485,25.29000028,26.75333385,2306.250041
26.15305595,25.49000022,26.76333389,1926.913368
26.98000038,26.29666691,27.59000047,2030.453367
27.36750045,26.70000076,27.99000028,2565.760046
27.39138932,26.70333411,27.99666697,2543.670043
27.426667,26.80333379,28.00000032,2444.216707
27.38805592,26.81000048,27.90666688,2356.340043
27.27194484,26.70666714,27.81000042,2495.466711
27.60805592,27.00666695,28.10000044,2734.916715
27.71000038,27.10333366,28.20000044,2834.323384
27.32583371,26.77000046,27.69333381,2958.040054
25.35916702,24.89000034,25.73666706,2801.93338
25.35916703,24.96333364,25.7133337,2864.500049
27.2638893,26.87333393,27.60000032,2868.866721
27.30000039,27.02666715,27.62333374,3220.296727
27.04138924,26.77000033,27.386667,3116.823394
25.14805591,20.96666705,27.56000029,1663.906692
27.00611149,22.74666723,29.86666686,1574.680025
27.09722258,22.96666679,29.97000033,1376.003358
27.2336115,23.16666711,30.26333389,1257.063352
27.46472263,23.36333377,30.54666697,1161.016686
27.71638927,23.65666707,30.75666707,1157.546685
27.74361152,23.71000036,30.65666701,1122.89335
27.47833368,23.52000033,30.16000035,1132.263355
27.37055595,23.91666711,29.96000042,1237.973354
28.23861151,25.31333377,30.70666714,1362.890028
27.92416708,25.61666711,30.02333393,1712.263362
26.65222258,25.04000028,28.25000038,2472.003374
25.97083374,24.94333375,27.3566672,3345.686724
26.45833371,24.60666701,28.38000056,1908.110026
27.03333371,25.97666702,27.99333369,2237.566707
25.53916704,24.57666702,26.50666701,2723.970039
24.05083367,23.27333374,24.90666688,2804.953383
24.2983337,23.46333357,25.12666708,2856.653385
25.92138924,24.8766667,26.74333388,2824.856704
26.26694479,25.29000028,27.05666714,2486.716713
26.69944475,25.88666674,27.38333352,2275.863371
26.60555596,25.89000009,27.2966671,2266.230046
27.51833371,26.80000019,28.09333381,2436.463374
27.81333374,27.10000057,28.40000019,2482.24671
27.4111115,26.80000025,27.99333362,2385.916708
27.46111146,26.90666701,27.99666697,2351.48337
27.54472259,27.11333376,28.00333366,2328.960037
27.51888926,27.01000029,28.00666701,2450.446704
27.476667,26.90666695,27.91333364,2602.710054
27.66138929,27.09666703,28.10666714,2749.393386
27.70416707,27.17000039,28.1966671,2859.326721
27.44750031,26.93666687,27.88000024,2689.553375
25.99527814,25.52000039,26.3533336,2708.966715
