Original depositional environment,Depositional environment - broader grouping
Coastal,Coastal
"Coastal, estuarine",Coastal
Lacustrine beach,Coastal
"Lacustrine, playa",Coastal
Fluvial,Fluvial
Moraine dammed lake,Fluvial
Glacial,Glacial
Cirque lake,Lacustrine
Drained lake,Lacustrine
Explosion crater lake,Lacustrine
Glacial origin lake,Lacustrine
Interdunal lake,Lacustrine
Lacustrine,Lacustrine
"Lacustrine, natural open-water",Lacustrine
"Lacustrine, natural open-water, tectonic lake",Lacustrine
"Lacustrine, volcanic lake",Lacustrine
Lava flow dammed lake,Lacustrine
Small hollow,Lacustrine
Solution origin lake,Lacustrine
Spring mound,Lacustrine
Wind origin lake,Lacustrine
Marine,Marine
Archaeological,Terrestrial
Terrestrial,Terrestrial
"Terrestrial, cave sediments",Terrestrial
"Terrestrial, soil, buried soil",Terrestrial
"Terrestrial, mire",Wetlands
"Terrestrial, mire, bog",Wetlands
"Terrestrial, mire, bog,	blanket bog",Wetlands
"Terrestrial, mire, fen",Wetlands
"Terrestrial, mire, swamp",Wetlands
Valley mire,Wetlands
Unknown,Unknown
